source,category,title,url,picture
BBC,politics,"Plan to modernise 1,000 GP practice buildingsThe Department of Health and Social Care said it is the biggest public investment in facilities in England in five years.6 hrs agoHealth",https://www.bbc.com/news/articles/cx28erkmm3yo,https://static.files.bbci.co.uk/bbcdotcom/web/20250428-123652-7bc49a8f4-web-2.20.1-1/grey-placeholder.png
BBC,politics,"Changing leader not enough to fix Tories, Badenoch saysThe Tory leader says her party's comeback will be ""slow and steady"", after her heavy local election losses.2 days agoPolitics",https://www.bbc.com/news/articles/c5y6nv7l635o,https://static.files.bbci.co.uk/bbcdotcom/web/20250428-123652-7bc49a8f4-web-2.20.1-1/grey-placeholder.png
BBC,politics,Reform considers legal challenges against asylum hotelsReform UK chairman Zia Yusuf told the BBC the party is exploring ways to fulfil its promise to voters.2 days agoPolitics,https://www.bbc.com/news/articles/c77npgv06xpo,https://static.files.bbci.co.uk/bbcdotcom/web/20250428-123652-7bc49a8f4-web-2.20.1-1/grey-placeholder.png
BBC,politics,"Local elections 2025 in maps and chartsFind out who's winning where using our lookup tool, as the first results are declared.3 days agoEngland",https://www.bbc.com/news/articles/cd925jk27k0o,https://static.files.bbci.co.uk/bbcdotcom/web/20250428-123652-7bc49a8f4-web-2.20.1-1/grey-placeholder.png
BBC,politics,Sir John Curtice: The map that shows Reform's triumph was much more than a protest voteIt suggests the party was particularly popular among those who voted for Brexit in 2016 and for Boris Johnson in 2019.3 days agoBBC InDepth,https://www.bbc.com/news/articles/c5yg467m8mjo,https://static.files.bbci.co.uk/bbcdotcom/web/20250428-123652-7bc49a8f4-web-2.20.1-1/grey-placeholder.png
BBC,politics,Chris Mason: Fireworks for Reform as Labour and Tories write election post-mortemsSenior Reform figures believe the primary driving motivation behind their surge is betrayal.4 days agoPolitics,https://www.bbc.com/news/articles/ce8478zp085o,https://static.files.bbci.co.uk/bbcdotcom/web/20250428-123652-7bc49a8f4-web-2.20.1-1/grey-placeholder.png
BBC,politics,"Henry Zeffman: Seven things we have learnt from the election resultsThe patchwork of different contests across England has been truly fascinating, throwing up all sorts of lessons.4 days agoPolitics",https://www.bbc.com/news/articles/cp8jdr6ylzjo,https://static.files.bbci.co.uk/bbcdotcom/web/20250428-123652-7bc49a8f4-web-2.20.1-1/grey-placeholder.png
BBC,politics,"What might Reform do with its newly won power?For the first time the party has won control of local councils, as well as two mayoralties.3 days agoPolitics",https://www.bbc.com/news/articles/cdjl4k8jyxeo,https://static.files.bbci.co.uk/bbcdotcom/web/20250428-123652-7bc49a8f4-web-2.20.1-1/grey-placeholder.png
BBC,politics,Do not share or sell my info,https://www.bbc.com/usingthebbc/cookies/how-can-i-change-my-bbc-cookie-settings/,
BBC,politics,Read about our approach to external linking.,https://www.bbc.co.uk/editorialguidelines/guidance/feeds-and-links,
BBC,arts/culture/celebrities,"Home of Ukrainian Eurovision contestant destroyedKhrystyna Starykova shares photos of her bombed-out apartment block, but vows to keep performing.4 hrs agoEurope",https://www.bbc.com/news/articles/c93g03g71qno,https://static.files.bbci.co.uk/bbcdotcom/web/20250428-123652-7bc49a8f4-web-2.20.1-1/grey-placeholder.png
BBC,arts/culture/celebrities,"Rihanna reveals she is expecting third child with A$AP RockyPartner A$AP Rocky confirms the news on the red carpet, telling reporters the couple were ""happy"".12 hrs agoCulture",https://www.bbc.com/news/articles/cde21wnlrpjo,https://static.files.bbci.co.uk/bbcdotcom/web/20250428-123652-7bc49a8f4-web-2.20.1-1/grey-placeholder.png
BBC,arts/culture/celebrities,"Home of Ukrainian Eurovision contestant destroyedKhrystyna Starykova shares photos of her bombed-out apartment block, but vows to keep performing.4 hrs agoEurope",https://www.bbc.com/news/articles/c93g03g71qno,https://static.files.bbci.co.uk/bbcdotcom/web/20250428-123652-7bc49a8f4-web-2.20.1-1/grey-placeholder.png
BBC,arts/culture/celebrities,"Rihanna reveals she is expecting third child with A$AP RockyPartner A$AP Rocky confirms the news on the red carpet, telling reporters the couple were ""happy"".12 hrs agoCulture",https://www.bbc.com/news/articles/cde21wnlrpjo,https://static.files.bbci.co.uk/bbcdotcom/web/20250428-123652-7bc49a8f4-web-2.20.1-1/grey-placeholder.png
BBC,arts/culture/celebrities,India seeks to stop auction of jewels linked to Buddha remainsDelhi has called the sale of the jewels illegal and demanded for them to be repatriated to India.7 hrs agoAsia,https://www.bbc.com/news/articles/c7vn24j3v2jo,https://static.files.bbci.co.uk/bbcdotcom/web/20250428-123652-7bc49a8f4-web-2.20.1-1/grey-placeholder.png
BBC,arts/culture/celebrities,"What is Sean 'Diddy' Combs charged with and how are jurors picked?The rap mogul denies sex trafficking and racketeering charges, plus dozens of other lawsuits alleging abuse.4 hrs agoUS & Canada",https://www.bbc.com/news/articles/c0qz32wzeego,https://static.files.bbci.co.uk/bbcdotcom/web/20250428-123652-7bc49a8f4-web-2.20.1-1/grey-placeholder.png
